Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30)
3.9795744750471755e-12,0.11224537209046098,0.0,0.0,0.0,0.0,0.99999999838815556,1.6015261209708843e-09,5.1588331206259779e-12,3.2560766097320311e-16,5.1580776925920379e-12,4.5682889866237153e-16,6.7173908514528965e-16,1.7540093176832549e-30,2.5971930483974777e-29,3.8514382560387579e-33,5.2255808996566197e-50,1.4301183163278684e-52,2.342221640218377e-47,4.2036757992704877e-54
5.969361923416228e-12,0.11224537213569152,0.0,0.0,0.0,0.0,0.99999999758223246,2.4022890791748435e-09,7.7385582070214357e-12,6.7412931997508372e-16,7.7369942680573356e-12,9.4583114197295791e-16,1.3907359640347551e-15,7.0928959950848559e-30,7.1249773165962825e-29,1.3513674387884155e-32,4.7290523437444306e-49,1.3583751079995594e-51,1.7062203051213736e-46,4.3713629784629684e-53
7.95914937178528e-12,0.11224537218092208,0.0,0.0,0.0,0.0,0.99999999677630869,3.2030519125673073e-09,1.0318488860092075e-11,1.1465174135448092e-15,1.0315829137138832e-11,1.6086513596892406e-15,2.3652541295402372e-15,1.9209033473582112e-29,1.4967137318366779e-28,3.3866115486398287e-32,1.8698639839922661e-48,5.5870451222035917e-51,6.283782402101295e-46,1.9614090039623873e-52
1e-11,0.1122453722713833,0.0,0.0,0.0,0.0,0.9999999959497019,4.0243642847298775e-09,1.296486101197868e-11,1.771869812394791e-15,1.296075083523719e-11,2.4861493518637846e-15,3.6553028164132667e-15,4.9924363982866532e-29,2.8929698972585527e-28,8.3750271709682087e-32,9.528451225378009e-48,3.1193604384691437e-50,3.1786662561874871e-45,1.5790422854668267e-51
1.1938724268523387e-11,0.1122453722713833,0.0,0.0,0.0,0.0,0.99999999516445925,4.8045771696924381e-09,1.5479025041484879e-11,2.4980276243100825e-15,1.5473230714944126e-11,3.5051340469314075e-15,5.1532835051541996e-15,9.6255667568768962e-29,4.7745273730321954e-28,1.5834680403056658e-31,2.2643102704059505e-47,7.5467839532209678e-50,7.5529531695004992e-45,4.0431642903738975e-51
1.5918299165261492e-11,0.11224537236184452,0.0,0.0,0.0,0.0,0.99999999355260782,6.4061018867679117e-09,2.0640450709247047e-11,4.3856957747262639e-15,2.0630278938775116e-11,6.1541885009964727e-15,9.047225849600132e-15,2.8861849362349252e-28,1.0954601711655758e-27,4.6249186187754809e-31,1.088328052424063e-46,3.7451700235267337e-49,3.5054675275468552e-44,2.3508496129493755e-50
2.3877448958737704e-11,0.11224537254276734,0.0,0.0,0.0,0.0,0.9999999903288973,9.6091496932980371e-09,3.0965981732914926e-11,9.7769155527391652e-15,3.0943311503932301e-11,1.3721085136589758e-14,2.0167741851543872e-14,1.4908389982110454e-27,3.7293674456601555e-27,2.3937003823128968e-30,1.3769282031410931e-45,5.0197807660950149e-48,4.5132479826291678e-43,4.9137350848449412e-49
3.979574854569013e-11,0.11224537290461394,0.0,0.0,0.0,0.0,0.99999998388144751,1.6015238793942455e-08,5.1627758391321213e-11,2.7024533061924088e-14,5.1565126882769702e-11,3.7936677877310532e-14,5.5740165622146765e-14,1.2139813385867018e-26,1.8238948528689683e-26,2.0585354256720405e-29,3.5036230395907917e-44,1.3362388108833647e-46,1.2085364297715262e-41,2.402703647851537e-47
7.163234771959498e-11,0.11224537362831119,0.0,0.0,0.0,0.0,0.99999997098643278,2.8827390936319666e-08,9.2994126211444099e-11,8.7387411203872732e-14,9.2791809450309617e-11,1.2273985067055482e-13,1.8020452563615671e-13,1.3351784764158823e-25,1.1750023980177969e-25,2.5172283687424987e-28,1.4296891166019908e-42,5.5948460472109199e-45,5.1436944336666013e-40,1.9405692427500114e-45
9.999999999999999e-11,0.1122453743520139,0.0,0.0,0.0,0.0,0.99999995949634168,4.0243489211197162e-08,1.2990120871615453e-10,1.7023118189761176e-13,1.2950741455193814e-10,2.3919919490293414e-13,3.5098068606328808e-13,4.7128514296655016e-25,3.2746584213009329e-25,9.1122832287059348e-28,8.8231474782676956e-42,3.467447017585036e-44,2.9228054320007061e-39,1.3973222821277789e-44
1.0346894689349982e-10,0.1122453743520139,0.0,0.0,0.0,0.0,0.99999995809126407,4.1639508330148716e-08,1.3441750858431198e-10,1.8224081812309848e-13,1.3399596614725889e-10,2.5608505432778149e-13,3.7573586379385367e-13,5.2743730789280731e-25,3.6099971550220128e-25,1.0212054547496965e-27,1.0125002285550272e-41,3.9796260427679769e-44,3.3441234462413227e-39,1.6112308592080236e-44
1.3530554606740467e-10,0.11224537507572208,0.0,0.0,0.0,0.0,0.99999994519594149,5.445159097038818e-08,1.75897806471334e-10,3.1158560927940468e-13,1.7517769676518911e-10,4.3803710775607897e-13,6.4229915619152586e-13,1.445192518497909e-24,8.2758658465752673e-25,2.8651009096167693e-27,4.5434089176898138e-41,1.7907774993212472e-43,1.3957697786073511e-38,8.1562591712135034e-44
1.6714214524130952e-10,0.11224537579943568,0.0,0.0,0.0,0.0,0.99999993230046513,6.7263638852454709e-08,2.1743491672000438e-10,4.7542204246171383e-13,2.1633710460854063e-10,6.686620296719104e-13,9.7985706417861356e-13,3.2262451891790327e-24,1.6103463949732424e-24,6.5685525935999161e-27,1.5563612221648691e-40,6.1483399027145663e-43,4.5322718716339553e-38,3.1139974364177725e-43
2.308153435891192e-10,0.11224537724687933,0.0,0.0,0.0,0.0,0.99999990650905057,9.2887630326010817e-08,3.0067919182341714e-10,9.0656985632182604e-13,2.9858933407974444e-10,1.2761733300491249e-12,1.8678172737425272e-12,1.1107364773373505e-23,4.5392298558861485e-24,2.4023507343948539e-26,1.1262928236254196e-39,4.4675195398824665e-42,3.051637972810294e-37,2.8046709867083991e-42
2.944885419369289e-10,0.11224537869434487,0.0,0.0,0.0,0.0,0.99999988071702006,1.1851148271605546e-07,3.8414950818234484e-10,1.4756843338626466e-12,3.8075347949961311e-10,2.0791436639990246e-12,3.0393158384772695e-12,2.8354934024472971e-23,1.011311575867951e-23,6.4947519032284765e-26,4.7292569970225199e-39,1.8788830415430078e-41,1.2161868597949717e-36,1.3446519744994945e-41
3.581617402847386e-10,0.11224538014183241,0.0,0.0,0.0,0.0,0.99999985492437371,1.4413519598623575e-07,4.6784500059703482e-10,2.182765310914431e-12,4.628304050124884e-10,3.0781232798679273e-12,4.4940384167740947e-12,6.0572446917029793e-23,1.9534997435508643e-23,1.4717421751459173e-25,1.5378839276071234e-38,6.1195399630608351e-41,3.7772841088858063e-36,4.9074875793770164e-41
4.855081369803579e-10,0.1122453830368736,0.0,0.0,0.0,0.0,0.99999980333723193,1.9538220502675793e-07,6.3590818644929934e-10,4.0108248792782828e-12,6.2672591811899055e-10,5.6662331236317132e-12,8.2519548494351081e-12,2.0238803848069367e-22,5.6367895867227574e-23,5.7406673688452961e-25,1.2335539342745542e-37,4.92668125445716e-40,2.8963627147381981e-35,6.1562257854887992e-40
